KO,Bsal_1_15,Bsal_1_29,Bsal_2_15,Bsal_2_29,Bsal_3_15,Bsal_4_15,Bsal_4_29,
K01869,0,6,0,0,2,2,0,
K03643,0,0,4,0,0,0,0,
K02340,0,0,0,0,0,0,0,
K13888,2,4,0,0,5,0,0,
K05685,4,2,0,0,2,4,0,
K00208,0,0,0,0,1,0,0,
K13288,2,0,0,0,0,0,0,
K06949,0,0,0,0,0,0,0,
K03676,0,0,0,0,0,0,0,
K06133,0,0,0,0,0,0,0,
K03071,0,0,0,0,0,0,0,
K00059,2,0,0,0,0,0,0,
K00647,0,0,0,0,0,0,0,
K00375,0,0,0,0,0,0,0,
K07734,0,0,0,0,0,0,0,
K22479,0,0,0,0,0,0,0,
K13929,2,6,0,0,0,0,0,
K13930,0,0,2,0,1,0,0,
K13931,0,0,0,0,1,0,0,
K13932,0,0,0,0,0,0,0,
K13933,0,0,0,0,0,0,0,
K13934,0,0,0,0,0,0,0,
K13935,0,0,0,0,0,0,0,
K13928,0,0,0,0,0,0,0,
K00426,2,0,0,0,1,0,0,
K00425,0,10,2,0,2,2,2,
K20938,0,0,0,0,2,0,0,
K15551,0,0,0,0,0,0,0,
K10831,0,0,0,0,4,0,0,
K15552,0,0,0,0,0,0,0,
K03119,0,0,0,0,0,0,0,
K16841,0,0,0,0,0,0,0,
K03457,0,0,0,0,0,0,0,
K00537,0,0,0,0,0,0,0,
K03892,0,0,0,0,0,0,0,
K03325,0,0,0,0,0,0,0,
K11811,0,0,0,0,0,0,0,
K07240,0,0,0,0,0,0,0,
K07240,0,0,0,0,0,0,0,
K03387,0,0,0,0,0,2,0,
K02433,0,0,0,0,0,0,0,
K02435,0,0,0,0,0,0,0,
K03569,0,2,0,0,0,0,0,
